Version,type,order,code,key,category,question,guidance,no-guidance,yes-guidance,offering,service-name,analyst-reason,analyst-followup,compliant-answer,qualitative,highrisk,weight,cis,hippa,iso27002,nistcsf,800-171,800-53,trusted-ci,pci-321
3.02,-FULL-,100,CHNG-11,3.02-FULL-CHNG-11,Change Management,"Do you have policy and procedure, currently implemented, guiding how security risks are mitigated until patches can be applied?", ,State your plans to implement policy and procedure(s) guiding risk mitigation practices before critical patches can be applied.,Summarize the policy and procedure(s) guiding risk mitigation practices before critical patches can be applied.,,,"New vulnerabilities are published every day and vendors have a responsibility to maintain their software(s). The fundamental nature of operation will expose some risks to the system but it is crucial that a vendor recognize their responsibilities and have a plan to implement them, when this time arrives.",Follow-up inquiries for the vendors patching practices will be institution/implementation specific.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,101,CHNG-12,3.02-FULL-CHNG-12,Change Management,Are upgrades or system changes installed during off-peak hours or in a manner that does not impact the customer?, ,Decribe plans to minimize the impact of downtime based on predefined off-peak hours.," Define current off-peak hours, including time zones as necessary.",,,Restricting system updates to a standard maintenance timeframe is important for ensuring that changes to production systems do not impact operations.  It’s also important for troubleshooting any problems that may occur as a result of the changes.,"If the vendor's response does not cover the details outlined in the reasoning, follow-up and get specific responses, as needed.",Yes,,FALSE,15,-,-,-,-,-,-,-,-
3.02,-FULL-,102,CHNG-13,3.02-FULL-CHNG-13,Change Management,Do procedures exist to provide that emergency changes are documented and authorized (including after the fact approval)?, ,Describe plans to implement procedure ensuring that emergency changes are documented and authorized., Summarize implemented procedures ensuring that emergency changes are documented and authorized.,,,"In the context of the CIA triad, this question is focused on system integrity, ensuring that system changes are only executed by authorized users. In the event of emergency changes, accountability and post-action review is expected. ",Follow-up with a robust question set if a vendor cannot clearly state full-control of the integrity of their system(s).,Yes,,FALSE,15,-,-,-,-,-,-,-,-
3.02,-FULL-,103,CHNG-14,3.02-FULL-CHNG-14,Change Management,Do procedures exist to provide that emergency changes are documented and authorized (including after the fact approval)?, ,State your plans to implement procedures to provide that emergency changes are documented and authorized., Summarize the procedure for authorizing and documenting emergency changes.,,,The lack of emergency change management  is indicative of immature program processes. Answers to this question can provide insight into how well their responses (on the HECVAT) represent their actual environment(s).,Follow-up inquiries for the vendors emergency change practices will be institution/implementation specific.,Yes,,TRUE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,104,CHNG-15,3.02-FULL-CHNG-15,Change Management,"Do you have an implemented system configuration management process? (e.g. secure ""gold"" images, etc.)", ,Describe how system configuration management is currently handled in your environment.,Summarize your implemented system configuration management precess.,,,Hardware lifecycles and continuous software updates creates an always-changing landscape in information technology. The focus of this question is the integrity of a vendor's infrastructure. Mismanagement of system configurations can lead to breakdowns in layers of security. ,"It is expected that vendors should have robust documentation when it comes to configuration management. Vague answers to this question should be met with concern. Inquire about the device management tools in use, system lifecycles, complexity of systems, etc. and evaluate the response in the context of company capabilities (see Company Background section).",Yes,,TRUE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,105,CHNG-16,3.02-FULL-CHNG-16,Systems Management & Configuration,"Do you have a systems management and configuration strategy that encompasses servers, appliances, cloud services, applications, and mobile devices (company and employee owned)?", ,Describe your intent to implement a systems management and configuration strategy.,Summarize your systems management and configuration strategy.,,,"In the context of the CIA triad, this question is focused on system integrity, ensuring that system changes are only executed by authorized users. Additionally, it is expected that devices (for administrators, vendor staff, and affiliates)that are used to access the vendor's systems are properly managed and secured.",Follow-up with a robust question set if the vendor cannot clearly state full-control of the integrity of their system(s). Questions about administrator access on end-user devices and other maintenance and patching type questions are appropriate.,Yes,,FALSE,15,-,-,-,-,-,-,-,-
3.02,-FULL-,106,DATA-01,3.02-FULL-DATA-01,Data,"Does the environment provide for dedicated single-tenant capabilities? If not, describe how your product or environment separates data from different customers (e.g., logically, physically, single tenancy, multi-tenancy).", ,Describe your plan to separate institution data from other customers.,Describe or provide a reference to how institution data is separated from that of other customers.,,,"A vendor's response to this question can reveal a system's infrastructure quickly. Off-point responses are common here so general follow-up is often needed. Understanding how a vendor segments its customers data (or doesn't) affects various other controls, including network settings, use of encryption, access controls, etc.). A vendor's response here will influence potential follow-up inquiries for other HECVAT questions.",0,Yes,,FALSE,15,-,-,-,-,-,-,-,-
3.02,-FULL-,107,DATA-02,3.02-FULL-DATA-02,Data,"Will Institution's data be stored on any devices (database servers, file servers, SAN, NAS, …) configured with non-RFC 1918/4193 (i.e. publicly routable) IP addresses?", , ,"State the need for this strategy, in detail",,,"Systems that are directly exposed to public internet resources are at great risk than those that are not. Understanding the requirements for this configuration is important, particularly when assessing compensating controls.",Ask the vendor about their infrastructure and if there is a solution that eliminates the need for this environment.,No,,TRUE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,108,DATA-03,3.02-FULL-DATA-03,Data,"Is sensitive data encrypted, using secure protocols/algorithms, in transport? (e.g. system-to-client)", ,Describe why sensitive data in not encrypted in transport.,Summarize your transport encryption strategy,,,"The need for encryption in transport is unique to your institution's implementation of a system. In particular, the data flow between the system and the end-users of the software/product/service.",Follow-up inquiries for data encryption between the system and end-users will be institution/implementation specific.,Yes,,TRUE,40,-,-,-,-,-,-,-,-
3.02,-FULL-,109,DATA-04,3.02-FULL-DATA-04,Data,"Is sensitive data encrypted, using secure protocols/algorithms, in storage? (e.g. disk encryption, at-rest, files, and within a running database)", ,Describe why sensitive data in not encrypted in storage.,Summarize your data encryption strategy and state what encryption options are available.,,,"The need for encryption at-rest is unique to your institution's implementation of a system. In particular, system components, architectures, and data flows, all factor into the need for this control.",Follow-up inquiries for data encryption at-rest will be institution/implementation specific.,Yes,,TRUE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,110,DATA-05,3.02-FULL-DATA-05,Data,Do all cryptographic modules in use in your product conform to the Federal Information Processing Standards (FIPS PUB 140-2)?, ,Provide a detailed description of all non-conforming modules,0,,,"Beware the use of proprietary encryption implementations. Open standard encryption, preferably mature, is often preferred. Although there may be cases if which that is not the case, be sure to understand the vendor's infrastructure and the true security of a vendor's solution.","If the vendor cannot accommodate open standards encryption requirements, direct them to NIST's Cryptographic Standards and Guidelines document at https://csrc.nist.gov/Projects/Cryptographic-Standards-and-Guidelines ",Yes,,TRUE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,111,DATA-06,3.02-FULL-DATA-06,Data,"At the completion of this contract, will data be returned to the institution and deleted from all your systems and archives?", ,State plans to implement capabilities for the Institution to retrieve their data.,State the length of time that Institution's data will be available in the system at the completion of the contract.,,,"When cancelling a software/product/service, an institution will commonly want all institutional data that was provided to a vendor. This questions allows the vendor to state their general practices when a customer leaves their environment.","A vendor's response should be clear and concise. Be wary of vague responses to this questions and inquire about export specifics, as needed.",Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,112,DATA-07,3.02-FULL-DATA-07,Data,Will the institution's data be available within the system for a period of time at the completion of this contract?, ,Describe your data export procedures conducted at the termination of contract.,State the length of time that Institution's data will be available in the system at the completion of the contract,,,"When cancelling a software/product/service, an institution will commonly want all institutional data that was provided to a vendor. This questions allows the vendor to state their general practices when a customer leaves their environment.","A vendor's response should be clear and concise. Be wary of vague responses to this questions and inquire about export specifics, as needed.",Yes,,TRUE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,113,DATA-08,3.02-FULL-DATA-08,Data,Can the Institution extract a full or partial backup of data?, ,State plans to implement capabilities for the Institution to extract a full or partial backup of data.,Provide a general summary of how full and partial backups of data can be extracted.,,,"When cancelling a software/product/service, an institution will commonly want all institutional data that was provided to a vendor. The vendor's response should verify if the institution can extract data or if it is a manual extraction by vendor staff.","A vendor's response should be clear and concise. Be wary of vague responses to this questions and inquire about export specifics, as needed.",Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,114,DATA-09,3.02-FULL-DATA-09,Data,"Are ownership rights to all data, inputs, outputs, and metadata retained by the institution?", ,Describe in detail why ownership rights are not retained by the institution.,Provide reference to your data ownership documention.,,,This question clarifies the operating model of a vendor and provides insight into the vendor-customer paradigm of a company. Knowing if the institution is of value to a vendor or if the institution's data is of value to a vendor should weigh heavily in the decision-making process.,"If a vendor's response is unsatisfactory, engage institutional counsel to appropriately address any ownership concerns.",Yes,,FALSE,15,-,-,-,-,-,-,-,-
3.02,-FULL-,115,DATA-10,3.02-FULL-DATA-10,Data,Are these rights retained even through a provider acquisition or bankruptcy event?, ,Provide a detailed description why rights are not retained.," Provide references, as needed.",,,"This question clarifies the position of the institution in the case of acquisition or bankruptcy. Expect clear responses to this question - if vague, be sure to follow-up based on institutional counsel guidance.","If a vendor's response is unsatisfactory, engage institutional counsel to appropriately address any ownership concerns.",Yes,,TRUE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,116,DATA-11,3.02-FULL-DATA-11,Data,"In the event of imminent bankruptcy, closing of business, or retirement of service, will you provide 90 days for customers to get their data out of the system and migrate applications?", ,Provide a detailed summary to support your selection.,State how the institution will be notified of imminent termination,,,"This question clarifies the position of the institution in the case of acquisition or bankruptcy. Expect clear responses to this question - if vague, be sure to follow-up based on institutional counsel guidance.","If a vendor's response is unsatisfactory, engage institutional counsel to appropriately address any ownership concerns.",Yes,,FALSE,15,-,-,-,-,-,-,-,-
3.02,-FULL-,117,DATA-12,3.02-FULL-DATA-12,Data,Are involatile backup copies made according to pre-defined schedules and securely stored and protected?,Ensure that response addresses involatile storage and lists retention periods,State how Institution's data is protected from system failures and ransomware.,"If your strategy uses different processes for services and data, ensure that all strategies are clearly stated and supported.",,,Restricting system updates to a standard maintenance timeframe is important for ensuring that changes to production systems do not impact operations. It’s also important for troubleshooting any problems that may occur as a result of the changes. Availability is the focus of this question.,An institution's use case will drive the requirements for backup strategy. Ensure that the institution's use case and risk tolerance can be met by vendor systems.,Yes,,FALSE,15,-,-,-,-,-,-,-,-
3.02,-FULL-,118,DATA-13,3.02-FULL-DATA-13,Data,"Do current backups include all operating system software, utilities, security software, application software, and data files necessary for recovery?", ,State plans to include the elements listed in DATA-13 in your backup strategy.,Decribe your overall strategy to accomplish these elements.,,,The purpose of this question is to define the scope of backup operations and the scope at which a vendor may readily recover when backup restoration is required.,Follow-up inquiries for backup content scope will be institution/implementation specific.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,119,DATA-14,3.02-FULL-DATA-14,Data,Are you performing off site backups? (i.e. digitally moved off site), ,State any plans to implement off site virtual backups in your environment.,Summarize your off site backup strategy.,,,"When data is moved digitally (e.g., cloud provider, vendor-owned facility, etc.) offsite, the policies and implemented procedures are important to know. The protections implemented to prevent compromise will be technical in nature and should be well-documented.","Follow-up inquiries for offsite, digital backups will be institution/implementation specific.",Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,120,DATA-15,3.02-FULL-DATA-15,Data,Are physical backups taken off site? (i.e. physically moved off site), ,State any plans to implement off site physical backups in your environment.,Provide the distance (in miles) between the primary and off-site locations,,,"When data is moved physically (e.g. HDD, print, etc.) offsite, the policies and implemented procedures are important to know. Unencrypted data taken outside secured areas introduces unnecessary risks. ","Follow-up inquiries for offsite, physical backups will be institution/implementation specific.",Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,121,DATA-16,3.02-FULL-DATA-16,Data,Do backups containing the institution's data ever leave the Institution's Data Zone either physically or via network routing?, , ,Summarize why backups containing the Institution's data leave the Institution's data zone.,,,"Data exposure is a risk if sensitive data is in any way transported (physically or electronically) into a data zone that is not authorized by the institution. Depending on the criticality of data and institution policy, full control of data confidentiality may be highly valued.",Follow-up inquiries for data backup procedures/practices will be institution/implementation specific.,No,,TRUE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,122,DATA-17,3.02-FULL-DATA-17,Data,Are data backups encrypted?, ,Summarize why backups are not encrypted.,Summarize the encryption algorithm/strategy you are using to secure backups.,,,"The need for encryption at-rest (for backups) is unique to your institution's implementation of a system. In particular, system components, architectures, and data flows, all factor into the need for this control.",Follow-up inquiries for data backup encryption at-rest will be institution/implementation specific.,Yes,,FALSE,15,-,-,-,-,-,-,-,-
3.02,-FULL-,123,DATA-18,3.02-FULL-DATA-18,Data,"Do you have a cryptographic key management process (generation, exchange, storage, safeguards, use, vetting, and replacement), that is documented and currently implemented, for all system components? (e.g. database, system, web, etc.)", ,Summarize your cryptographic key management process.,Summarize your cryptographic key management process.,,,"Understanding how key management is handled and the safeguards implemented by the vendor to ensure key confidentiality in all components of a system(s) can provide insight into other complex details of a vendor's infrastructure. Use vendor responses to this question as a way to pivot to other infrastructure specifics, as needed to clarify potential risks.","Follow-up with the vendor to ensure that all components of the system are consider. This includes, system-to-system, system-to-client, applications, system accounts, etc.",Yes,,FALSE,10,-,-,-,-,-,-,-,-
3.02,-FULL-,124,DATA-19,3.02-FULL-DATA-19,Data,"Do you have a media handling process, that is documented and currently implemented that meets established business needs and regulatory requirements, including end-of-life, repurposing, and data sanitization procedures?", ,Provide a detailed summary of media handling processes that do exist.,Provide documented details of this process (link or attached).,,,"Managing media (and the data within) throughout its lifecycle is crucial to the protection of institutional data. The focus of this question is confidentiality, ensuring that media that may store institutional data is protected by well-established policy and procedure.",Vague responses to this question should be investigated further. Ask for additional documentation and verify that procedure (and possibly training) exists to ensure proper media handling activity.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,125,DATA-20,3.02-FULL-DATA-20,Data,Does the process described in DATA-19 adhere to DoD 5220.22-M and/or NIST SP 800-88 standards?, ,State plans to adhere to DoD 5220.22-M and/or NIST SP 800-88 standards.,0,,,"Managing media (and the data within) throughout its lifecycle is crucial to the protection of institutional data. The focus of this question is confidentiality, ensuring that media that may store institutional data is protected by well-established policy and procedure. ",Follow-up inquiries for DoD 5220.22-M and/or SP800-88 standards will be institution specific.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,126,DATA-21,3.02-FULL-DATA-21,Data,"Is media used for long-term retention of business data and archival purposes stored in a secure, environmentally protected area?", ,State plans to store long-term media in environmentally protected areas.,Provide a general summary of your archival environment.,,,"Managing media (and the data within) throughout its lifecycle is crucial to the protection of institutional data. The focus of this question is confidentiality, ensuring that media that may store institutional data is protected by well-established policy and procedure. ",Vague responses to this question should be investigated further. Ask for additional documentation and verify that procedure (and possibly training) exists to ensure proper media handling activity.,Yes,,TRUE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,127,DATA-22,3.02-FULL-DATA-22,Data,Will you handle data in a FERPA compliant manner?, ,State plans to handle data in a FERPA compliant manner.,Describe how FERPA compliance is integrated into your process and procedures.,,,"Standard documentation, relevant to institution implementations requiring FERPA compliance.",Follow-up inquiries for FERPA compliance details will be institution/implementation specific.,Yes,,FALSE,15,-,-,-,-,-,-,-,-
3.02,-FULL-,128,DATA-23,3.02-FULL-DATA-23,Data,"Does your staff (or third party) have access to Institutional data (e.g., financial, PHI or other sensitive information) through any means?", ,0,Summarize what access staff (or third parties) have to institutional data.,,,"Confidentiality is the focus of this question. Based on the capabilities of vendor administrators, the institution may require additional safeguards to protect the confidentiality of data stored by/shared with a vendor (e.g., additional layer of encryption, etc.).","If Institutional data is visible by the vendor's system administrators, follow-up with the vendor to understand the scope of visibility, process/procedure that administrators follow, and use cases when administrators are allowed to access (view) Institutional data.",Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,129,DATA-24,3.02-FULL-DATA-24,Data,Do you have a documented and currently implemented strategy for securing employee workstations when they work remotely? (i.e. not in a trusted computing environment), ,0,Provide a detailed summary outlining the security controls implemented to protect the Institution's data.,,,"In the context of the CIA triad, this question is focused on confidentiality. Printed documents, mobile device use, and remote access are all relevant to this question. A vendor's response to this question will provide insight into their overall business process. Vendor business activity that pose additional security risks should be met with increased concern.",Vague responses to this question should be investigated further. Ask for additional documentation and verify that procedure (and possibly training) exists to ensure proper customer data handling activity.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,130,DCTR-01,3.02-FULL-DCTR-01,Datacenter,Does the hosting provider have a SOC 2 Type 2 report available?, ,0,Obtain the report if possible and add it to your submission.,,,"This question is relative to the response above. Understanding the ownership structure of the facility that will host institutional data is important for setting availability expectations and ensure proper contract terms are in place to protect the institution due to use of third-parties. If a vendor uses a third-party vendor to provide datacenter solutions, having that vendor's SOC 2 Type 2 provides additional insight. The ability to assess these ""forth-party"" vendors is based on your institution's resources. The vendor is responsible for providing this information - ensure that they handle their vendors properly.",Follow-up inquiries for additional vendor's SOC 2 Type 2 reports will be institution/implementation specific.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,131,DCTR-02,3.02-FULL-DCTR-02,Datacenter,Are you generally able to accommodate storing each institution's data within their geographic region?,Please indicate which geographic regions you can provide storage in the Additional Info column.,Under what circumstances would institutional data leave a designated region or regions?,0,,,"An institution's location will dictate what laws and regulations apply to them. As vendor's may not know where all of their customers may reside, it is imperative that vendors are able to accommodate geographic requirements for their customers. Although unfair to expect support for all geographic regions in common infrastructure/platform/software-as-a-service, it is expected that vendor's be absolutely clear about the regions they leverage and/or support.","If a vendor is unable to accommodate storing/processing institutional data within specific regions, ask them why they are unable to? Try to determine if its an infrastructure issue (scalability), a cost-reduction strategy (size/maturity), or some other issue.",Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,132,DCTR-03,3.02-FULL-DCTR-03,Datacenter,"Are the data centers staffed 24 hours a day, seven days a week (i.e., 24x7x365)?", ,State any plans to staff data centers 24x7x365.,Describe the on-site staff capabilities.,,,Vendors that operate their own datacenter(s) can implement their own monitoring strategy. Use the vendor's response to this questions to verify/validate other responses related to ownership/co-location/physical security. ,Follow-up inquiries for data center staffing will be institution/implementation specific.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,133,DCTR-04,3.02-FULL-DCTR-04,Datacenter,"Are your servers separated from other companies via a physical barrier, such as a cage or hardened walls?", ,State plans to separate your servers for others via a physical barrier.,Describe your physical barrier strategy.,,,"This question is primarily focused on system integrity. If institutional data is stored in a system that is not physically secured from unauthorized access, the need for compensating controls is often higher. Depending on the use case or vendor infrastructure, this may not be relevant. ",Follow-up inquiries for system physical security will be institution/implementation specific.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,134,DCTR-05,3.02-FULL-DCTR-05,Datacenter,Does a physical barrier fully enclose the physical space preventing unauthorized physical contact with any of your devices?, ,State plans to implement a physical barrier to prevent physical contact with any of your devices.,0,,,"This question is primarily focused on system integrity. If institutional data is stored in a system that is not physically secured from unauthorized access, the need for compensating controls is often higher. Depending on the use case or vendor infrastructure, this may not be relevant. ",Follow-up inquiries for system physical security will be institution/implementation specific.,Yes,,FALSE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,135,DCTR-06,3.02-FULL-DCTR-06,Datacenter,Are your primary and secondary data centers geographically diverse?, ,Describe any plans to implement.,"State your primary and secondary data center locations. For cloud infrastructures, state the primary and secondary zones.",,,0,0,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,136,DCTR-07,3.02-FULL-DCTR-07,Datacenter,"If outsourced or co-located, is there a contract in place to prevent data from leaving the Institution's Data Zone?", , ,Summarize the strategy for removing Institution's data from its Data Zone.,,,"Data exposure is a risk if sensitive data is in any way transported (physically or electronically) into a data zone that is not authorized by the institution. Depending on the criticality of data and institution policy, full control of data confidentiality may be highly valued.",Follow-up inquiries for data backup procedures/practices will be institution/implementation specific.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,137,DCTR-08,3.02-FULL-DCTR-08,Datacenter,What Tier Level is your data center (per levels defined by the Uptime Institute)?,Review the Uptime Institute's level/tier direction provided on their website if you need addition information, , ,,,"Standard documentation, relevant to institutions requiring a vendor to maintain a specific Uptime Institute Tier Level.",Follow-up inquiries for Uptime Institute Tier Level details will be institution/implementation specific.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,138,DCTR-09,3.02-FULL-DCTR-09,Datacenter,Is the service hosted in a high availability environment?, ,Describe any plans to implement a high availability environment for your systems.,Provide a summary to support your response selection.,,,"In the context of the CIA triad, this question is focused on the availability of a system (or set of systems). ",The weight placed on the vendor's response will be specific to the institution's use case and software/product/service requirements.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,139,DCTR-10,3.02-FULL-DCTR-10,Datacenter,Is redundant power available for all datacenters where institution data will reside? , ,Describe any plans to implement a high availability environment for your systems.,"Provide a detailed description of the implemented strategy. (i.e. batteries, generator)",,,"In the context of the CIA triad, this question is focused on the availability of a system (or set of systems). ",The weight placed on the vendor's response will be specific to the institution's use case and software/product/service requirements.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,140,DCTR-11,3.02-FULL-DCTR-11,Datacenter,Are redundant power strategies tested?, ,State plans to implement redundant power testing for your systems.,State how often redundant power strategies are tested and the date of the last successful test.,,,"Installing [potential] redundant power and regularly testing strategies to ensure they will work when needed are very different. Vague responses to this question should be met with concern and appropriate follow-up, based on your institutions risk tolerance.",Follow-up inquiries for redundant power testing details will be institution/implementation specific.,Yes,,FALSE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,141,DCTR-12,3.02-FULL-DCTR-12,Datacenter,Describe or provide a reference to the availability of cooling and fire suppression systems in all datacenters where institution data will reside.,Ensure that all parts of DCTR-12 are clearly stated in your response.,0,0,,,0,0,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,142,DCTR-13,3.02-FULL-DCTR-13,Datacenter,Do you have Internet Service Provider (ISP) Redundancy?,State the ISP provider(s) in addition to the number of ISPs that provide connectivity.,0,State how many Internet Service Providers (ISPs) provide connectivity to each datacenter where the institution's data will reside. ,,,"In the context of the CIA triad, this question is focused on the availability of a system (or set of systems). ",The weight placed on the vendor's response will be specific to the institution's use case and software/product/service requirements.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,143,DCTR-14,3.02-FULL-DCTR-14,Datacenter,Does every datacenter where the Institution's data will reside have multiple telephone company or network provider entrances to the facility?, ,State plans to implement diversity of path in your network provider connections.,Provide a brief description for each datacenter.,,,"In the context of the CIA triad, this question is focused on the availability of a system (or set of systems). ",The weight placed on the vendor's response will be specific to the institution's use case and software/product/service requirements.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,144,DCTR-15,3.02-FULL-DCTR-15,Datacenter,Are you requiring multi-factor authentication for administrators of your cloud environment?, ,Describe plans to implement MFA.,State which model of MFA you are using.,,,"2FA/MFA, implemented correctly, strengthens the security state of a system. 2FA/MFA is commonly implemented and in many use cases, a requirement for account protection purposes. ","Ask the vendor about hardware and software options, future roadmap for implementations and support, etc.",Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,145,DCTR-16,3.02-FULL-DCTR-16,Datacenter,Are you using your cloud providers available hardening tools or pre-hardened images?, ,Describe how you alternately harden your images., ,,,"In the context of the CIA triad, this question is focused on the integrity of a system (or set of systems). ",Ask the vendor about their system lifecycle practices and security methodology.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,146,DCTR-17,3.02-FULL-DCTR-17,Datacenter,Does your cloud vendor have access to your encryption keys?,Describe your key management practices.,0,0,,,"Understanding how key management is handled and the safeguards implemented by the vendor to ensure key confidentiality in all components of a system(s) can provide insight into other complex details of a vendor's infrastructure. Use vendor responses to this question as a way to pivot to other infrastructure specifics, as needed to clarify potential risks.","Follow-up with the vendor to ensure that all components of the system are consider. This includes, system-to-system, system-to-client, applications, system accounts, etc.",No,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,147,DRPL-01,3.02-FULL-DRPL-01,Disaster Recovery Plan,Describe or provide a reference to your Disaster Recovery Plan (DRP).,Provide a valid URL to your current DRP or submit it along with this fully-populated HECVAT.,Describe any plans to implement a DRP.,Please attach or include a link.,,,"In the context of the CIA triad, this question is focused on availability and is often in need of a follow-up. Understanding the maturing of a vendor's DRP can shed light on many other aspects of a vendor's overall security state. ","A vendor may have a number of BCP elements defined so the vendor's response may not be binary. Assess the components of the plan and ask about timelines, follow-up commitments, etc. If the vendor does not have a DRP, point them to https://www.sans.org/reading-room/whitepapers/recovery/disaster-recovery-plan-1164",Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,148,DRPL-02,3.02-FULL-DRPL-02,Disaster Recovery Plan,Is an owner assigned who is responsible for the maintenance and review of the DRP?, ,State plans to assign an owner responsible of the maintenance and review of the DRP.,"State the responsible owner, or position title.",,,Having a DRP and maintaining/updating/testing a DRP are very different. Establishing a responsible party is fundamental to this process and this question looks to verify that within the vendor.,Follow-up inquiries for DRP responsible parties will be institution/implementation specific.,Yes,,FALSE,15,-,-,-,-,-,-,-,-
3.02,-FULL-,149,DRPL-03,3.02-FULL-DRPL-03,Disaster Recovery Plan,Can the Institution review your DRP and supporting documentation?, ,"Please provide alternatives if possible (NDA, briefing on the DRP, etc)",Provide DRP with your submission of this fully-populated HECVAT,,,"General inquiry for documentation. As DRPs may contain some sensitive data, a robust summary is appropriate in lieu of a full DRP.","If the vendor states ""No"", you can ask for a summary, white paper, or blog. If unable to review the full plan, infer what you can from other DRP question responses.",Yes,,TRUE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,150,DRPL-04,3.02-FULL-DRPL-04,Disaster Recovery Plan,Are any disaster recovery locations outside the Institution's geographic region?, ,0,List all locations outside of the U.S. and provide a brief summary of each.,,,"Data exposure is a risk if sensitive data is in any way transported (physically or electronically) into a data zone that is not authorized by the institution. Depending on the criticality of data and institution policy, full control of data confidentiality may be highly valued.",Follow-up inquiries for data backup procedures/practices will be institution/implementation specific.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,151,DRPL-05,3.02-FULL-DRPL-05,Disaster Recovery Plan,Does your organization have a disaster recovery site or a contracted Disaster Recovery provider?, ,Describe your recovery plans if your primary location is unavailable.,Summarize your disaster recovery strategy including the type of availability your disaster recovery site provides.,,,"In the event that a vendor's headquarters (primary location of operation) is no longer usable, a recovery site may be needed to support business operations. Having an established (planned) recovery site show maturity in a vendor's DRP.",Follow-up inquiries for disaster recovery site practices will be institution/implementation specific.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,152,DRPL-06,3.02-FULL-DRPL-06,Disaster Recovery Plan,Does your organization conduct an annual test of relocating to this site for disaster recovery purposes?, ,State plans to implement disaster recovery relocation testing,Summarize your disaster recovery relocation testing strategy.,,,"Testing a DRP is an important action that improves the efficiency and accuracy of a vendor's recovery plans. Vague responses to this question should be met with concern and appropriate follow-up, based on your institutions risk tolerance.","If the vendor does not have a DRP, point them to https://www.sans.org/reading-room/whitepapers/recovery/disaster-recovery-plan-1164",Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,153,DRPL-07,3.02-FULL-DRPL-07,Disaster Recovery Plan,Is there a defined problem/issue escalation plan in your DRP for impacted clients?, ,Describe your plans to implement a problem/issue escalation plan in your DRP.,Summarize your problem/issue escalation plan.,,,"Notification expectations should be set early in the contract/assessment process. Timelines, correspondence medium, and playbook details are all aspects to keep in mind when assessing this response.","If the vendor's response does not cover the details outlined in the reasoning, follow-up and get specific responses for each, as needed.",Yes,,FALSE,20,-,-,-,-,-,-,-,-
